step,loss,val_loss,val_ppl,lr,grad_norm,tok_per_sec,gpu_temp,vram_mb,elapsed_s,loss_scale,overflow,fwd_ms,bwd_ms,optim_ms,vram_real_mb
990,4.683237,,,2.301139e-04,0.7412,2176.2,62.0,1139.5,3728.6,65536.0,0,1118.17,2613.70,17.58,2280.0
1000,4.685715,4.684747,108.282898,2.275000e-04,0.7068,2179.2,62.0,1139.5,3766.3,65536.0,0,1113.11,2613.40,17.54,2280.0
1010,4.642760,,,2.248543e-04,0.7326,2178.5,62.0,1139.5,3807.3,65536.0,0,1112.69,2612.75,17.64,2280.0
1020,4.663673,,,2.221779e-04,0.7474,2178.1,62.0,1139.5,3845.0,65536.0,0,1117.93,2610.68,17.58,2280.0
1030,4.674211,,,2.194721e-04,0.7385,2180.0,62.0,1139.5,3882.6,65536.0,0,1114.03,2611.66,17.47,2280.0
1040,4.703217,,,2.167380e-04,0.6885,2177.9,62.0,1139.5,3920.3,65536.0,0,1111.50,2617.73,17.55,2280.0
1050,4.637783,,,2.139768e-04,0.7047,2177.2,62.0,1139.5,3957.9,65536.0,0,1111.68,2616.01,17.51,2280.0
1060,4.685024,,,2.111898e-04,0.7018,2174.6,62.0,1139.5,3995.6,65536.0,0,1113.58,2620.03,17.55,2280.0
1070,4.775380,,,2.083781e-04,0.7495,2177.6,62.0,1139.5,4033.3,65536.0,0,1115.52,2614.05,17.51,2280.0
1080,4.622719,,,2.055430e-04,0.7299,2177.7,62.0,1139.5,4071.0,65536.0,0,1114.04,2614.09,17.52,2280.0
1090,4.567637,,,2.026857e-04,0.6999,2178.8,62.0,1139.5,4108.6,65536.0,0,1113.51,2610.30,17.49,2280.0
1100,4.620393,,,1.998075e-04,0.7522,2177.4,62.0,1139.5,4146.3,65536.0,0,1113.20,2616.00,17.59,2280.0
1110,4.650053,,,1.969096e-04,0.7869,2179.4,62.0,1139.5,4183.9,65536.0,0,1111.82,2614.63,17.64,2280.0
1120,4.555167,,,1.939934e-04,0.6845,2180.3,62.0,1139.5,4221.6,65536.0,0,1114.21,2610.99,17.59,2280.0
1130,4.622423,,,1.910601e-04,0.7216,2179.0,62.0,1139.5,4259.3,65536.0,0,1114.01,2613.43,17.57,2280.0
1140,4.701025,,,1.881109e-04,0.7177,2181.2,62.0,1139.5,4296.9,65536.0,0,1113.22,2610.35,17.57,2280.0
1150,4.460403,,,1.851472e-04,0.7271,2177.2,62.0,1139.5,4334.6,65536.0,0,1113.56,2616.05,17.54,2280.0
1160,4.476891,,,1.821703e-04,0.7278,2179.1,62.0,1139.5,4372.2,65536.0,0,1113.12,2613.50,17.58,2280.0
1170,4.410931,,,1.791815e-04,0.7529,2177.5,62.0,1139.5,4409.9,65536.0,0,1114.97,2615.28,17.59,2280.0
1180,4.556079,,,1.761820e-04,0.7476,2177.6,62.0,1139.5,4447.6,65536.0,0,1112.72,2614.20,17.67,2280.0
1190,4.506847,,,1.731733e-04,0.7355,2177.1,62.0,1139.5,4485.3,65536.0,0,1112.76,2617.79,17.59,2280.0
1200,4.580919,,,1.701566e-04,0.7459,2179.7,61.0,1139.5,4522.9,65536.0,0,1112.83,2614.13,17.61,2280.0
1210,4.570338,,,1.671333e-04,0.7082,2180.0,61.0,1139.5,4560.6,65536.0,0,1113.65,2612.43,18.32,2280.0
1220,4.577077,,,1.641046e-04,0.6895,2177.7,61.0,1139.5,4598.2,65536.0,0,1111.99,2618.07,17.60,2280.0
1230,4.439281,,,1.610720e-04,0.7125,2178.8,62.0,1139.5,4635.9,65536.0,0,1112.97,2615.86,17.66,2280.0
